CHROM,POS
Pf3D7_03_v3,119896
Pf3D7_03_v3,119908
Pf3D7_03_v3,119921
Pf3D7_03_v3,136402
Pf3D7_03_v3,136746
Pf3D7_03_v3,139813
Pf3D7_04_v3,93004
Pf3D7_04_v3,93008
Pf3D7_04_v3,93016
Pf3D7_04_v3,93033
Pf3D7_04_v3,93040
Pf3D7_04_v3,93041
Pf3D7_04_v3,93044
Pf3D7_04_v3,93050
Pf3D7_04_v3,156339
Pf3D7_04_v3,156536
Pf3D7_04_v3,820739
Pf3D7_04_v3,1124720
Pf3D7_04_v3,1124724
Pf3D7_04_v3,1124741
Pf3D7_04_v3,1124743
Pf3D7_04_v3,1124744
Pf3D7_04_v3,1124774
Pf3D7_04_v3,1124778
Pf3D7_04_v3,1124784
Pf3D7_04_v3,1124785
Pf3D7_04_v3,1124813
Pf3D7_04_v3,1124816
Pf3D7_04_v3,1124843
Pf3D7_04_v3,1124858
Pf3D7_04_v3,1124860
Pf3D7_04_v3,1124867
Pf3D7_04_v3,1124871
Pf3D7_04_v3,1133501
Pf3D7_04_v3,1133565
Pf3D7_04_v3,1137155
